Country/Organization Name,Satellites In Orbit
ALGERIA,6
ARAB SATELLITE COMMUNICATIONS ORGANIZATION,14
ARGENTINA,34
ASIA SATELLITE TELECOMMUNICATIONS COMPANY (ASIASAT),8
AUSTRALIA,25
AZERBAIJAN,2
BANGLADESH,1
BELARUS,2
BOLIVIA,1
BRAZIL,17
BULGARIA,1
CANADA,60
CHILE,3
CHINA/BRAZIL,3
COMMONWEALTH OF INDEPENDENT STATES (FORMER USSR),1535
CZECH REPUBLIC (FORMER CZECHOSLOVAKIA),2
CZECHIA,3
DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA,1
DENMARK,9
ECUADOR,2
EGYPT,9
ESTONIA,2
EUROPEAN ORGANISATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES,9
EUROPEAN SPACE AGENCY,92
EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION,54
FEDERAL DEMOCRATIC REPUBLIC OF NEPAL,1
FRANCE,75
FRANCE/GERMANY,2
FRANCE/ITALY,2
GERMANY,71
GLOBALSTAR,84
GREECE,3
INDIA,99
INDONESIA,18
INTERNATIONAL MOBILE SATELLITE ORGANIZATION (INMARSAT),18
INTERNATIONAL SPACE STATION,5
INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION,86
IRAN,2
IRAQ,1
ISRAEL,23
ITALY,29
JAPAN,188
KAZAKHSTAN,8
LAOS,1
LATVIA,1
LITHUANIA,5
LUXEMBOURG,4
MALAYSIA,7
MEXICO,13
MOROCCO,2
NETHERLANDS,8
NEW ICO,1
NEW ZEALAND,1
NIGERIA,5
NORTH ATLANTIC TREATY ORGANIZATION,8
NORTH KOREA,2
NORWAY,9
O3B NETWORKS,20
ORBCOMM,41
PAKISTAN,6
PEOPLE'S REPUBLIC OF CHINA,436
PERU,2
PHILIPPINES (REPUBLIC OF THE PHILIPPINES),2
POLAND,5
PORTUGAL,2
QATAR,1
REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORGANIZATION,2
REPUBLIC OF RWANDA,1
REPUBLIC OF SLOVENIA,2
SAUDI ARABIA,15
SEA LAUNCH,1
SINGAPORE,11
SINGAPORE/TAIWAN,2
SLOVAKIA,1
SOCIETE EUROPEENNE DES SATELLITES,56
SOUTH AFRICA,5
SOUTH KOREA,24
SPAIN,29
SWEDEN,11
TAIWAN (REPUBLIC OF CHINA),16
THAILAND,11
TURKEY,13
TURKMENISTAN/MONACO,1
UNITED ARAB EMIRATES,11
UNITED KINGDOM,154
UNITED STATES,2825
UNITED STATES/BRAZIL,1
URUGUAY,1
VENEZUELA,3
VIETNAM,3
